CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,k,COUNCIL,COUNTY,PARISH,NGR,URL
2483,HY41SW 1,Wideford Hill,Chambered Cairn (Neolithic),340900,1012110,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4090 1211,http://canmore.org.uk/site/2483
2485,HY41SW 101,"Kirkwall, St Magnus Cathedral",Hogback Stone (Early Medieval),344940,1010870,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4494 1087,http://canmore.org.uk/site/2485
2518,HY41SW 13,Pickaquoy,"Burnt Mound (Prehistoric), Cup And Ring Marked Stone (Prehistoric)",344070,1011160,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4407 1116,http://canmore.org.uk/site/2518
2521,HY41SW 133,"Kirkwall, Broad Street","Human Remains (Period Unassigned), Settlement (Period Unassigned)",344900,1010800,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 449 108,http://canmore.org.uk/site/2521
2522,HY41SW 14,"Kirkwall, St Magnus Cathedral",Coin (Roman),344900,1010860,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4490 1086,http://canmore.org.uk/site/2522
2523,HY41SW 15,"Kirkwall, Town Cross",Market Cross (17th Century),344890,1010890,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4489 1089,http://canmore.org.uk/site/2523
2524,HY41SW 16,"Kirkwall, Palace Street, Grammar School",School (Period Unassigned),344890,1010900,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4489 1090,http://canmore.org.uk/site/2524
2525,HY41SW 17,"Kirkwall, Castle",Castle (Medieval),344890,1010970,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4489 1097,http://canmore.org.uk/site/2525
2526,HY41SW 18,"Kirkwall, Bishops Palace","Brooch (Roman), Finger Ring",344000,1010000,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 44 10,http://canmore.org.uk/site/2526
2527,HY41SW 19,Grainbank,Souterrain (Prehistoric),344130,1011610,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4413 1161,http://canmore.org.uk/site/2527
2528,HY41SW 2,Saverock,"Cist(S) (Period Unassigned), Hammer, Hammerstone(S), Vessel (Clay)",342700,1012600,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 427 126,http://canmore.org.uk/site/2528
2529,HY41SW 20,"St Duthac's Chapel, Pickaquoy",Chapel (Period Unassigned),344200,1011000,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 442 110,http://canmore.org.uk/site/2529
2530,HY41SW 21,Wideford Hill,"Mound(S) (Period Unassigned), Axehead (Stone), Pestle (Possible)",341000,1011000,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 41 11,http://canmore.org.uk/site/2530
2532,HY41SW 221,"Kirkwall, Tankerness House",Pictish Symbol Stone (Pictish),344840,1010860,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4484 1086,http://canmore.org.uk/site/2532
2533,HY41SW 222,"Kirkwall, Tankerness House",Pictish Symbol Stone (Pictish),344840,1010860,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4484 1086,http://canmore.org.uk/site/2533
2534,HY41SW 23,St Ola Parish,Bead (Viking),344000,1010000,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 44 10,http://canmore.org.uk/site/2534
2535,HY41SW 24,Hatston,"Souterrain (Prehistoric), Structure(S) (Period Unassigned)",344120,1011620,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4412 1162,http://canmore.org.uk/site/2535
2541,HY41SW 3,Hatston,Souterrain (Prehistoric),343620,1012380,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4362 1238,http://canmore.org.uk/site/2541
2552,HY41SW 4,Quanterness,"Chambered Cairn (Neolithic), Hut Circle (Prehistoric), Roundhouse (Iron Age)",341770,1012920,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4177 1292,http://canmore.org.uk/site/2552
2553,HY41SW 40,Kirkwall,Sea Defences (Period Unassigned),344800,1011100,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 448 111,http://canmore.org.uk/site/2553
2554,HY41SW 41,"Watergate, Kirkwall",Cellar (Period Unassigned),344930,1010720,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4493 1072,http://canmore.org.uk/site/2554
2555,HY41SW 42,Cancelled,No Class,,,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY  ,http://canmore.org.uk/site/2555
2557,HY41SW 441,Kirkwall Gasworks,No Class (Event),344810,1010960,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4481 1096,http://canmore.org.uk/site/2557
2558,HY41SW 45,"Kirkwall, Harbour Street, St Ola Hotel",Inscribed Stone(S) (Period Unknown),344960,1011210,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4496 1121,http://canmore.org.uk/site/2558
2560,HY41SW 47,Wideford Hill,"Unidentified Flint(S) (Flint), Unidentified Pottery",340700,1012600,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 407 126,http://canmore.org.uk/site/2560
2563,HY41SW 5,Saverock,Souterrain (Prehistoric),343680,1012960,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4368 1296,http://canmore.org.uk/site/2563
2564,HY41SW 50,Kirkwall,"Midden(S) (Period Unassigned), Sea Defences (Period Unassigned), Structure(S) (Period Unassigned)",344000,1011000,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 44 11,http://canmore.org.uk/site/2564
